cid,stock,n,mean_iv,cv,span,mean_qty
12471,22472,16,24.6,0.82,350,6.9
12471,22497,7,32.0,0.92,194,5.7
12471,22505,10,30.6,0.56,249,5.2
12471,22549,7,39.5,0.73,239,12.0
12471,22554,14,45.9,0.68,602,14.6
12471,22555,7,44.0,0.93,266,15.4
12471,22556,12,56.1,0.92,622,15.0
12471,22585,8,62.0,0.61,375,13.5
12471,22621,8,80.9,1.41,569,18.0
12471,22625,7,46.7,1.02,282,5.4
12471,22644,7,36.6,0.65,185,11.1
12471,22646,8,42.6,0.82,301,19.5
12471,22649,11,27.9,0.6,283,10.5
12471,22728,18,26.2,0.58,426,11.3
12471,22741,13,32.6,0.88,363,62.8
12471,22752,8,26.8,0.64,164,4.8
12471,22759,8,36.8,0.63,224,12.0
12471,22812,7,74.0,1.05,372,20.6
12471,22813,11,45.7,0.85,415,17.5
12471,22907,6,70.4,0.51,353,14.0
12471,22908,7,37.4,0.88,188,13.7
12471,22961,11,36.6,0.68,372,21.8
12471,22968,5,34.5,0.59,139,6.4
12471,23155,7,35.0,0.48,212,18.9
12471,23158,7,40.8,0.98,247,20.6
12471,23159,8,32.9,0.57,234,16.5
12471,23174,6,41.0,0.53,208,6.3
12471,23197,7,24.8,0.73,153,17.1
12471,23198,9,18.6,0.71,153,16.0
12471,23238,6,27.4,0.69,139,9.0
12471,23240,5,29.2,0.39,118,6.0
12471,23245,7,21.5,0.62,132,18.9
12471,23294,7,25.5,0.64,105,25.1
12471,23295,6,25.8,0.54,105,28.0
12471,23319,5,37.8,1.24,153,24.0
12471,23445,5,20.0,0.68,82,32.0
12471,23559,5,20.2,0.26,82,20.4
12471,84988,9,49.6,0.33,350,12.0
12471,POST,44,17.4,0.67,730,5.5
12472,20676,6,81.0,0.47,408,10.7
12472,20719,12,60.5,0.94,674,16.7
12472,20724,8,72.9,0.91,515,13.8
12472,20750,5,154.0,0.63,618,3.6
12472,20914,5,74.5,0.44,300,7.2
12472,21238,10,74.1,0.64,674,10.4
12472,21240,7,102.3,0.4,618,9.1
12472,21559,6,117.0,0.56,587,6.0
12472,21668,7,102.5,0.36,618,13.7
12472,21669,7,111.7,0.65,674,12.0
12472,21670,5,122.2,0.24,490,12.0
12472,21671,5,122.2,0.1,490,12.0
12472,21673,5,122.2,0.24,490,12.0
12472,21731,11,66.6,0.6,674,17.5
12472,21914,8,83.0,0.38,585,16.5
12472,21915,8,80.1,0.38,565,16.5
12472,22029,7,111.7,0.74,674,15.4
12472,22037,6,134.2,0.69,674,14.0
12472,22077,9,70.0,0.46,565,24.0
12472,22078,6,134.2,0.69,674,11.7
12472,22212,8,95.6,0.61,674,6.8
12472,22242,9,50.2,0.32,408,16.0
12472,22243,5,71.8,0.69,289,14.4
12472,22244,8,64.7,0.44,458,16.5
12472,22245,9,50.2,0.36,408,14.7
12472,22326,14,46.8,0.67,618,13.7
12472,22328,12,55.4,1.24,618,12.0
12472,22331,5,168.0,0.2,674,8.0
12472,22333,5,136.0,0.48,546,9.6
12472,22355,7,111.7,0.76,674,11.4
12472,22378,5,33.8,0.29,138,6.0
12472,22423,7,89.7,0.7,540,4.1
12472,22467,11,58.3,0.68,589,21.3
12472,22551,6,95.0,0.69,478,14.0
12472,22554,7,97.0,0.77,585,13.7
12472,22555,5,108.8,0.99,438,14.4
12472,22556,8,80.1,0.41,565,15.0
12472,22629,9,57.2,0.61,464,20.0
12472,22716,6,97.6,0.44,490,12.0
12472,22815,5,95.5,0.39,384,12.0
12472,85049E,5,101.5,0.31,408,14.4
12472,85049G,5,74.2,0.25,299,14.4
12472,POST,19,37.8,0.59,693,4.1
12474,20682,8,65.4,1.04,461,7.5
12474,20719,10,63.6,0.85,576,16.0
12474,20724,7,72.7,0.83,438,12.9
12474,21746,5,113.2,0.79,455,12.0
12474,21914,5,106.5,0.68,427,12.0
12474,21915,9,68.5,0.49,552,12.0
12474,22090,5,160.2,0.69,642,6.0
12474,22271,5,104.5,0.58,420,6.0
12474,22326,12,52.8,1.0,585,9.5
12474,22328,10,38.9,0.51,354,9.0
12474,22331,5,137.5,0.45,552,8.0
12474,22355,8,82.0,0.99,576,10.0
12474,22367,5,92.8,0.26,372,8.0
12474,22467,6,108.2,0.63,543,12.0
12474,22492,5,113.2,0.59,456,36.0
12474,22551,10,50.1,0.68,454,13.2
12474,22554,11,42.8,0.84,431,14.2
12474,22555,6,74.0,0.57,372,14.0
12474,22556,11,45.0,0.82,454,13.1
12474,22629,7,70.8,0.77,427,12.0
12474,22636,8,63.4,0.76,446,3.5
12474,22716,5,70.5,0.42,283,12.0
12474,22898,5,92.8,0.29,372,9.6
12474,POST,27,26.5,0.75,649,2.2
12476,22423,7,69.2,0.4,417,3.1
12476,22467,6,84.0,0.45,421,14.0
12476,22624,5,113.8,0.29,455,2.8
12476,84879,5,108.5,0.6,435,28.8
12476,POST,16,34.2,0.76,486,6.1
12477,21155,5,115.2,0.41,462,18.0
12477,21216,5,95.8,0.24,383,25.6
12477,21217,5,149.8,0.42,600,4.8
12477,21523,6,119.8,0.36,600,6.3
12477,21563,5,95.8,0.24,383,20.4
12477,21672,6,113.0,0.56,566,12.0
12477,22199,5,149.8,0.42,600,11.2
12477,22212,7,99.7,0.66,600,12.0
12477,22244,5,130.2,0.46,522,40.8
12477,22354,5,141.2,0.78,566,7.0
12477,48185,6,119.6,0.76,600,5.3
12477,48188,5,149.8,0.54,600,4.0
12477,82486,6,119.8,0.6,600,6.0
12477,84968A,6,104.2,0.25,522,9.7
12480,21481,5,99.5,0.22,399,6.8
12480,22326,5,119.5,0.6,479,8.4
12480,POST,7,79.5,0.41,479,5.0
12481,22077,5,135.0,0.27,541,19.2
12481,22326,5,100.2,0.88,402,13.2
12481,22328,5,100.2,0.88,402,16.8
12481,22556,5,85.2,0.69,342,21.6
12481,22627,6,76.4,0.76,384,2.7
12481,22730,5,57.2,0.64,231,4.8
12481,22849,6,57.2,0.45,231,3.3
12481,22895,5,57.2,0.36,231,19.2
12481,POST,12,52.5,0.84,583,4.1
12483,21731,8,88.4,0.73,622,27.0
12483,22326,6,115.4,0.41,578,15.0
12483,22328,5,164.5,0.72,660,10.8
12483,22467,6,123.8,0.41,622,36.0
12483,22779,6,72.0,0.85,362,7.7
12483,POST,16,43.4,0.7,660,1.8
12484,22197,5,161.0,0.69,645,10.8
12484,47590A,5,161.0,0.69,645,3.8
12484,POST,6,128.8,0.37,647,4.8
12490,20711,5,101.8,0.44,408,10.0
12490,20712,10,79.6,0.6,720,10.0
12490,20719,6,146.2,1.24,733,10.0
12490,20724,12,60.7,0.5,672,10.0
12490,20725,7,108.0,0.44,650,10.0
12490,21156,5,106.2,0.56,427,8.0
12490,21238,6,127.2,0.23,637,9.3
12490,21559,5,132.0,0.77,529,6.0
12490,21731,12,66.4,0.69,733,15.0
12490,22090,6,64.6,0.45,324,7.0
12490,22303,5,132.0,0.36,529,9.6
12490,22326,6,129.4,0.85,650,8.0
12490,22328,8,89.7,0.62,631,7.5
12490,22352,6,127.0,0.49,637,7.0
12490,22356,6,126.6,0.36,635,11.7
12490,22379,8,94.3,0.45,663,6.9
12490,22381,5,165.5,0.64,663,8.0
12490,22386,8,89.6,0.71,631,11.2
12490,22619,6,101.0,0.98,507,4.7
12490,22895,6,78.6,0.33,394,9.0
12490,22898,6,85.0,0.65,427,8.0
12490,23084,5,38.0,0.77,154,48.0
12490,23203,5,41.5,0.3,167,10.0
12490,85099B,11,69.6,0.31,701,17.3
12490,POST,21,36.2,0.78,733,2.7
12494,21843,5,94.2,0.47,379,2.0
12494,POST,8,79.4,0.6,560,1.9
12500,22366,5,125.5,0.94,504,3.4
12500,22585,5,66.8,1.17,268,151.2
12500,POST,16,46.0,0.7,650,1.4
12502,22423,5,53.2,0.42,214,8.2
12502,POST,5,53.2,0.42,214,5.2
12510,20750,5,135.2,0.34,543,6.8
12510,POST,6,117.8,0.46,592,4.3
12518,POST,5,27.0,0.21,109,2.4
12520,POST,5,48.2,0.43,194,3.2
12523,21232,7,93.2,0.67,560,12.0
12523,21844,6,129.0,0.75,647,6.0
12523,22139,5,118.0,1.28,474,3.0
12523,22269,5,99.5,0.9,400,9.6
12523,22415,5,40.8,0.29,165,1.2
12523,23231,6,49.0,0.7,247,25.0
12523,POST,11,55.4,0.91,560,1.7
12524,21558,6,85.2,0.54,428,32.0
12524,22326,5,164.8,0.96,660,96.0
12524,22352,5,106.5,0.54,428,69.6
12524,POST,16,43.6,0.75,660,4.6
12528,POST,6,60.4,0.57,303,2.7
12530,20712,6,116.2,0.82,582,33.3
12530,22385,5,118.2,0.45,473,10.0
12530,22386,6,116.2,0.52,582,10.0
12530,85099B,8,82.7,0.3,582,17.5
12530,POST,9,72.4,0.45,582,2.3
12539,20914,6,173.0,0.85,694,9.0
12540,21080,5,151.0,0.23,605,12.0
12540,21164,11,67.3,0.45,679,10.9
12540,21210,6,122.8,0.36,617,12.0
12540,21212,9,64.6,0.3,521,24.0
12540,21218,7,84.7,0.88,510,12.9
12540,21340,9,73.8,1.17,594,7.0
12540,21498,8,71.7,0.5,506,25.0
12540,21519,7,79.3,0.62,479,18.9
12540,21670,5,148.2,0.24,595,16.8
12540,21671,6,130.8,0.34,657,16.0
12540,21754,6,80.0,0.63,402,8.0
12540,21770,7,104.3,0.73,628,7.7
12540,21843,8,90.1,0.56,634,5.5
12540,21844,11,55.5,0.51,560,13.1
12540,21877,9,82.9,0.63,667,13.3
12540,21914,6,73.6,0.24,370,20.0
12540,21915,5,130.2,0.4,522,21.6
12540,22028,5,151.0,0.72,606,14.4
12540,22077,14,42.2,0.47,555,15.4
12540,22423,11,48.8,0.52,492,7.5
12540,22553,10,57.4,0.68,522,16.8
12540,22556,10,54.2,0.7,493,15.6
12540,22620,6,80.0,0.45,402,12.0
12540,22622,5,70.8,0.41,284,8.4
12540,22629,7,71.7,0.44,434,13.7
12540,47566,5,169.2,1.32,679,10.6
12540,82494L,5,103.8,0.29,416,6.0
12540,84077,7,63.5,0.57,384,48.0
12540,84879,19,35.9,0.41,657,50.5
12540,85049G,5,116.5,0.4,467,12.0
12540,85123A,6,123.8,1.27,621,12.0
12540,POST,32,23.2,0.61,712,3.4
12553,20712,6,79.0,0.33,398,10.0
12553,20725,6,60.2,0.36,304,11.7
12553,21731,6,63.6,0.86,321,16.0
12553,21931,6,60.2,0.37,304,10.0
12553,22355,5,103.2,0.94,415,14.0
12553,22435,5,103.2,0.46,415,12.0
12553,22554,5,98.8,0.74,398,12.0
12553,22745,5,89.5,0.61,360,7.2
12553,85099B,9,51.2,0.21,415,15.6
12553,POST,11,40.9,0.32,415,2.5
12557,20728,5,103.8,0.28,416,136.0
12557,84997B,5,176.2,0.14,706,100.8
12557,84997C,6,141.0,0.22,706,276.0
12557,84997D,6,141.0,0.22,706,288.0
12562,20712,6,75.4,0.77,379,10.0
12562,22385,5,76.8,0.84,308,10.0
12562,22629,5,88.0,0.71,353,12.0
12562,22662,5,47.2,0.36,190,10.0
12562,23206,5,43.5,0.68,175,10.0
12562,POST,9,53.0,0.98,427,3.3
12567,20725,8,91.4,0.61,644,12.5
12567,20726,6,86.2,0.68,346,15.0
12567,20750,5,160.2,0.67,644,5.2
12567,21731,6,113.4,0.44,570,12.0
12567,22303,5,121.2,0.42,486,7.2
12567,22326,5,115.8,0.8,465,7.2
12567,22382,8,78.7,0.44,474,11.2
12567,23206,6,44.2,0.78,178,13.3
12567,POST,13,53.1,0.63,644,5.3
12569,21232,9,30.4,0.76,247,17.3
12569,22055,5,61.8,0.63,250,11.2
12569,22624,5,21.2,0.66,87,2.4
12569,22625,5,27.2,0.35,110,2.8
12569,37450,5,58.8,0.77,236,8.4
12569,POST,31,10.3,0.86,250,1.7
12576,16016,6,97.8,0.73,490,11.7
12583,10002,9,44.5,0.57,359,33.3
12583,20719,5,146.0,0.24,586,18.0
12583,20724,6,109.8,0.66,551,19.0
12583,21039,5,163.0,0.25,653,8.4
12583,21042,6,91.4,0.23,460,5.0
12583,21080,8,85.0,0.58,598,16.5
12583,21086,8,85.0,0.58,598,16.5
12583,21094,8,85.0,0.58,598,16.5
12583,21156,8,103.9,0.92,730,14.0
12583,21210,7,83.5,0.92,503,12.0
12583,21212,5,178.2,0.31,714,24.0
12583,21559,9,90.9,0.47,730,12.7
12583,21731,6,97.0,0.78,487,22.0
12583,22090,9,82.4,0.45,663,19.6
12583,22197,5,59.8,0.61,242,26.4
12583,22326,11,64.5,0.85,649,18.5
12583,22333,8,85.0,0.53,598,20.0
12583,22352,6,129.6,1.0,649,12.0
12583,22492,9,66.6,0.51,536,72.0
12583,22540,6,115.6,0.85,579,44.0
12583,22551,8,65.6,0.56,462,19.5
12583,22554,8,65.9,0.43,462,21.0
12583,22555,6,116.8,0.86,586,24.0
12583,22556,10,51.0,0.31,462,25.2
12583,22561,5,108.8,0.6,436,12.0
12583,22629,5,112.0,1.0,450,24.0
12583,22636,6,104.2,0.66,522,4.3
12583,22659,5,109.8,0.98,441,24.0
12583,22726,6,73.8,0.68,370,17.3
12583,22727,6,72.2,0.72,362,21.3
12583,22728,8,55.4,0.87,391,14.8
12583,22729,5,55.0,0.29,222,6.4
12583,POST,27,27.6,0.65,730,2.4
12584,22627,5,44.8,0.18,181,2.0
12584,22720,6,54.8,0.84,276,7.0
12584,22847,5,18.8,0.18,76,2.4
12584,48138,6,54.8,0.69,276,2.3
12589,POST,6,164.8,0.56,660,3.7
12594,20712,5,91.8,0.46,369,12.0
12594,20719,5,113.2,0.46,454,34.0
12594,20726,5,131.0,0.4,525,16.0
12594,20728,5,131.0,0.4,525,16.0
12594,21931,5,91.8,0.66,369,14.0
12594,22139,5,92.0,0.29,369,9.0
12594,22326,7,82.3,0.61,497,9.4
12594,22379,5,82.5,0.54,332,8.0
12594,22380,7,68.2,0.33,411,9.3
12594,22381,8,58.3,0.41,411,8.1
12594,22466,6,84.2,0.48,422,16.0
12594,22898,6,66.2,0.23,332,9.3
12594,84375,5,82.8,0.42,332,12.0
12594,POST,6,97.2,0.79,390,1.2
12598,20724,5,63.5,0.27,256,22.0
12598,22551,5,108.0,0.46,434,16.8
12598,22554,5,108.0,0.46,434,14.4
12598,22556,5,108.0,0.46,434,14.4
12598,22661,5,63.5,0.27,256,12.0
12598,POST,7,102.8,0.56,620,2.7
12599,20676,6,109.2,0.8,548,9.3
12599,20975,6,109.2,0.87,548,24.0
12599,21080,6,89.6,0.68,451,20.0
12599,21086,8,63.9,0.41,451,24.0
12599,21094,10,49.6,0.67,451,19.2
12599,21746,6,84.0,1.01,422,18.0
12599,POST,13,45.1,0.62,548,1.2
12600,15056BL,7,87.5,0.99,528,12.4
12600,20679,17,43.1,0.56,697,11.5
12600,20726,5,145.2,0.72,584,10.0
12600,21481,5,126.2,0.69,507,13.2
12600,85014B,15,49.4,0.78,697,15.4
12600,POST,20,36.6,0.62,703,1.7
12601,POST,6,42.4,0.46,214,1.0
12609,22326,5,107.5,0.5,431,7.2
12609,POST,9,79.9,0.34,641,2.6
12613,22139,5,102.5,0.26,411,3.0
12613,22326,6,109.8,0.34,552,15.0
12613,22328,5,137.5,0.64,552,12.0
12613,22554,5,120.8,0.53,484,14.4
12613,22556,5,120.8,0.53,484,12.0
12613,POST,9,95.0,0.31,668,3.3
12615,85099B,5,139.5,0.45,559,14.0
12615,POST,6,100.0,0.77,502,3.5
12619,23307,5,32.8,0.57,132,33.6
12619,POST,7,36.0,0.68,218,2.4
12621,15036,5,113.5,0.98,455,256.8
12621,20712,8,86.3,0.57,607,15.0
12621,20719,14,47.9,0.93,629,25.0
12621,20725,5,96.8,1.36,390,14.0
12621,20726,9,53.8,0.59,435,15.6
12621,20973,8,75.1,0.92,529,117.0
12621,21212,6,93.2,0.56,469,24.0
12621,21731,7,102.2,0.42,616,17.1
12621,21931,10,71.2,0.33,644,17.0
12621,22077,14,44.1,0.63,580,13.7
12621,22303,7,69.5,0.79,419,14.6
12621,22326,13,46.3,0.63,563,20.3
12621,22328,11,57.4,1.25,580,21.8
12621,22352,5,96.5,1.37,389,10.8
12621,22355,13,47.8,0.54,579,23.1
12621,22383,10,53.8,0.94,435,14.0
12621,22423,10,58.4,0.53,529,15.4
12621,22568,9,60.1,0.56,484,10.2
12621,22629,7,81.7,0.67,492,37.1
12621,22665,6,55.4,0.49,278,6.0
12621,22752,7,74.2,1.16,447,11.4
12621,22813,5,78.0,0.94,313,36.0
12621,22865,5,97.0,1.35,389,48.0
12621,23204,6,35.8,1.11,145,13.3
12621,23206,6,26.0,0.69,133,13.3
12621,85049G,5,92.2,0.4,370,12.0
12621,POST,32,21.7,0.62,666,3.9
12623,21731,5,104.8,0.57,420,12.0
12623,85232B,5,69.5,0.53,279,4.8
12623,POST,7,69.7,0.48,420,3.4
12626,POST,9,37.5,1.21,303,4.1
12627,POST,6,25.4,0.62,129,3.7
12633,21558,5,116.5,0.21,466,7.2
12633,22139,5,98.5,0.28,395,3.6
12633,22303,5,98.2,0.64,395,6.0
12633,22326,5,116.2,0.53,466,6.0
12633,22328,5,116.2,0.53,466,6.0
12633,22352,6,93.0,0.36,466,6.0
12633,POST,7,77.3,0.31,466,4.1
12637,20726,6,94.8,0.59,476,5.7
12637,22174,5,71.0,0.84,286,12.0
12637,22326,10,52.4,0.84,476,5.6
12637,22352,6,81.0,0.67,408,5.5
12637,22382,7,42.3,0.66,256,7.7
12637,22383,5,81.0,0.22,325,5.2
12637,22385,6,64.8,0.93,325,6.0
12637,22398,5,81.0,1.14,325,8.4
12637,22492,5,112.8,0.58,451,36.0
12637,22551,8,46.1,0.98,325,9.9
12637,22554,8,67.6,0.99,476,9.5
12637,22555,5,107.8,0.5,432,4.2
12637,22556,10,47.6,0.68,432,10.5
12637,22629,7,71.5,0.75,432,6.3
12637,22631,7,71.5,0.87,432,6.3
12637,22662,6,64.8,0.93,325,5.5
12637,22663,6,81.2,0.71,408,6.0
12637,22727,5,71.2,0.74,286,8.8
12637,22728,5,71.2,0.74,286,9.6
12643,21212,5,120.2,0.54,482,100.8
12643,21213,6,96.2,0.54,482,128.0
12643,22090,6,85.0,0.77,428,73.3
12643,POST,9,60.1,0.58,425,2.6
12645,22326,5,139.2,0.59,559,15.6
12645,POST,8,90.0,0.51,635,2.2
12647,20685,5,61.8,0.27,248,12.0
12647,20726,5,116.8,0.76,468,10.0
12647,21154,5,167.5,0.49,672,22.0
12647,21212,6,95.2,0.75,478,24.0
12647,21936,5,123.2,0.94,495,8.0
12647,22077,8,74.9,0.84,528,21.0
12647,22232,5,70.0,0.95,282,9.6
12647,22242,5,35.8,0.29,145,28.8
12647,22243,9,53.1,0.83,428,30.7
12647,22244,6,98.6,0.76,495,16.0
12647,22378,5,51.5,0.5,207,9.0
12647,22427,5,119.2,0.46,478,3.0
12647,22505,7,100.8,0.68,608,5.7
12647,22507,5,151.8,0.81,608,5.6
12647,47559B,6,134.0,0.75,672,23.3
12647,84968A,10,35.8,0.95,327,2.8
12647,84968B,6,37.4,0.85,190,4.2
12647,85162C,6,28.6,0.29,145,31.5
12647,POST,31,22.6,0.8,672,4.9
12649,22326,6,117.4,0.39,588,19.0
12649,POST,6,117.4,0.39,588,1.8
12656,20725,6,84.8,0.67,426,23.3
12656,20726,7,81.2,0.65,490,15.7
12656,22326,5,136.0,0.57,545,10.8
12656,22382,5,87.8,0.72,353,22.0
12656,22629,5,87.8,0.72,353,27.2
12656,22630,5,106.2,0.57,426,22.4
12656,22662,5,87.8,0.72,353,20.0
12656,POST,8,77.4,0.64,545,4.8
12662,20675,5,140.8,0.46,564,8.0
12662,20676,5,118.2,0.66,474,8.0
12662,20712,10,62.3,0.58,564,13.0
12662,20719,13,48.9,0.42,594,13.1
12662,20726,5,140.8,0.82,564,14.0
12662,20750,10,53.4,0.46,485,2.6
12662,20977,5,89.8,0.16,360,16.0
12662,21238,10,62.2,0.68,564,8.0
12662,21240,5,118.2,0.71,474,8.0
12662,21432,5,34.0,0.75,137,3.6
12662,22176,7,71.5,0.5,433,6.0
12662,22242,5,60.5,0.46,244,14.4
12662,22244,5,127.0,0.51,510,14.4
12662,22326,13,50.8,0.63,617,10.6
12662,22328,9,63.2,0.57,510,8.7
12662,22331,5,136.2,0.16,546,8.0
12662,22505,6,122.6,0.41,617,4.0
12662,23204,5,46.0,0.16,186,10.0
12662,84997B,5,118.0,0.84,473,4.4
12662,POST,19,33.7,0.45,617,1.9
12664,84997A,8,102.0,0.67,718,36.5
12664,84997C,9,89.2,0.78,718,47.6
12664,84997D,10,79.3,0.9,718,68.4
12664,POST,11,71.3,1.0,718,1.7
12668,20914,6,132.6,0.62,665,10.0
12668,21035,5,165.8,0.73,665,6.0
12668,21218,5,165.8,0.6,665,6.0
12668,21231,5,63.5,0.7,255,14.4
12668,21232,9,82.8,0.85,665,32.0
12668,21527,5,80.0,0.57,321,4.0
12668,21539,5,103.8,0.68,417,3.6
12668,21731,5,95.2,0.76,382,12.0
