cid,stock,n,mean_iv,cv,span,mean_qty
13531,85099B,5,132.5,0.17,531,20.0
13824,22383,5,86.5,0.17,347,14.0
13531,85099C,5,132.5,0.17,531,16.0
14849,23202,5,47.5,0.17,191,12.0
12758,21928,5,154.8,0.17,621,28.0
14341,22411,6,106.2,0.17,533,10.0
12758,21929,5,154.8,0.17,621,24.0
17364,84077,5,180.8,0.17,724,57.6
17954,22383,5,56.5,0.17,227,3.8
18230,21174,6,73.4,0.17,368,16.0
12935,21498,7,96.0,0.17,580,25.0
17965,22312,5,78.5,0.17,316,1.6
12758,85099B,5,154.8,0.17,621,26.0
16208,21755,5,90.8,0.17,363,3.2
15358,21724,6,114.6,0.17,575,12.0
17365,22445,5,106.2,0.17,427,7.4
17965,22314,5,78.5,0.17,316,1.8
17365,20967,5,85.2,0.17,344,4.0
16409,21874,7,67.5,0.17,408,2.3
16409,82583,6,68.2,0.18,343,1.8
17692,22650,5,102.8,0.18,413,8.8
12347,22423,5,90.8,0.18,364,3.6
14936,22625,5,137.0,0.18,549,2.8
18069,21381,5,127.5,0.18,512,4.0
13048,22386,7,95.7,0.18,576,12.0
12359,22423,6,113.6,0.18,569,7.0
16409,72351A,8,72.7,0.18,512,6.9
15312,85123A,6,117.8,0.18,591,15.3
12584,22627,5,44.8,0.18,181,2.0
15719,20711,5,102.5,0.18,411,1.6
16409,21348,6,67.2,0.18,339,2.2
14530,22188,5,137.2,0.18,551,2.6
16409,21977,9,71.4,0.18,575,3.7
12693,POST,7,65.3,0.18,395,2.3
15039,21390,5,131.2,0.18,527,9.8
16940,22383,6,121.4,0.18,609,6.0
17682,82583,5,98.0,0.18,394,12.8
15456,22412,5,91.5,0.18,368,3.2
13330,21931,6,112.2,0.18,562,11.7
13520,22551,5,65.8,0.18,264,31.2
13048,22384,7,95.7,0.18,576,14.3
13081,21201,5,110.5,0.19,444,10.8
17139,23208,6,48.2,0.19,194,18.3
16115,22667,6,95.2,0.19,478,2.7
16126,47590B,7,101.0,0.19,609,6.1
14713,22045,5,137.8,0.19,552,25.0
15712,22318,5,95.2,0.19,383,6.0
15033,20914,5,54.5,0.19,220,2.8
16327,85099B,5,65.8,0.19,265,8.4
14499,21314,5,110.2,0.19,443,4.8
13798,20711,7,80.3,0.19,483,100.0
14730,22326,6,57.8,0.19,231,2.0
14441,85123A,5,59.2,0.19,239,16.0
17139,23204,6,48.2,0.19,194,15.0
13081,21063,6,102.2,0.19,513,12.0
16011,22677,5,82.0,0.19,329,6.4
15497,82494L,5,88.0,0.19,355,24.0
16710,22333,5,148.5,0.19,595,3.2
13004,84978,6,64.8,0.19,327,12.0
16710,21094,5,148.5,0.19,595,10.0
15078,22690,5,47.0,0.19,189,2.0
16710,21086,5,148.5,0.19,595,11.4
16710,21080,5,148.5,0.19,595,9.2
14188,23203,5,45.5,0.19,184,20.0
14161,21870,5,127.2,0.19,510,12.0
17511,21242,6,144.2,0.19,722,96.0
13269,22629,5,84.2,0.19,339,10.4
17696,22059,5,58.2,0.19,234,12.0
17059,22662,5,84.5,0.19,339,2.4
14189,22727,5,92.8,0.19,372,5.6
17180,21212,5,97.8,0.19,393,3.6
16011,22680,5,82.0,0.19,329,4.4
14796,23154,7,39.0,0.19,237,1.7
14646,84975,8,39.6,0.19,280,99.0
17059,21165,5,84.5,0.19,339,1.2
14329,21931,5,129.5,0.2,519,10.0
14849,21122,11,59.5,0.2,599,24.0
16327,21934,5,45.5,0.2,184,7.4
15719,23201,8,26.4,0.2,187,2.6
15358,21506,5,139.2,0.2,558,12.0
12472,22331,5,168.0,0.2,674,8.0
13048,21930,6,95.0,0.2,477,10.0
14107,21213,5,66.5,0.2,268,24.0
16700,22998,5,62.5,0.2,251,28.8
17581,22661,5,95.0,0.2,381,12.0
16409,82605,5,68.0,0.2,274,1.4
15456,17084R,7,74.0,0.2,448,123.4
13862,21936,5,45.0,0.2,182,6.0
15373,21216,5,50.0,0.2,201,11.8
15719,23199,8,26.4,0.2,187,6.2
15819,22139,5,124.8,0.2,500,3.0
16327,85060,5,45.5,0.2,184,10.4
12779,37446,5,174.2,0.2,699,11.2
13963,21533,5,71.8,0.2,288,3.0
13815,20675,5,123.0,0.2,493,9.6
16656,21164,5,67.0,0.2,270,10.4
14291,22027,5,154.5,0.2,619,14.4
13815,21240,5,123.0,0.2,493,9.6
15521,84968C,6,113.2,0.2,454,6.3
14546,85040A,5,148.0,0.2,593,3.6
12683,21559,7,110.8,0.2,668,7.7
17191,85008,5,113.8,0.2,457,2.0
14194,23298,7,31.5,0.2,191,5.7
17511,22383,5,97.5,0.2,392,100.0
13862,22993,7,44.8,0.21,272,12.0
15719,22355,6,36.2,0.21,183,3.3
16351,85099B,5,77.0,0.21,310,10.0
13451,22383,5,63.5,0.21,255,3.6
15727,85123A,5,73.2,0.21,295,10.8
14040,22568,5,135.5,0.21,544,2.4
15513,22698,5,57.8,0.21,232,6.0
15358,84536A,6,97.0,0.21,487,16.0
15059,21164,5,140.5,0.21,563,1.8
13577,85099F,5,157.0,0.21,629,10.0
12705,21238,5,128.5,0.21,516,8.0
15358,84077,7,87.2,0.21,525,205.7
13048,20718,7,110.7,0.21,667,10.9
15382,22467,5,87.8,0.21,353,7.2
13047,22720,5,63.0,0.21,252,4.8
14156,22315,6,149.0,0.21,598,8.3
14156,22418,6,90.5,0.21,365,88.0
15785,21210,5,129.8,0.21,521,12.0
16754,84077,10,28.6,0.21,262,2304.0
13487,48187,5,169.0,0.21,677,2.4
16401,21980,6,118.2,0.21,475,15.2
15382,22752,5,87.8,0.21,353,5.6
12748,20711,5,106.5,0.21,427,1.6
18094,82482,5,154.8,0.21,619,22.8
12949,21172,5,136.8,0.21,549,12.0
14849,84993A,5,51.5,0.21,208,24.0
17416,21931,8,83.0,0.21,583,13.8
14905,85123A,6,115.2,0.21,578,32.0
12633,21558,5,116.5,0.21,466,7.2
14676,84077,6,121.2,0.21,608,144.0
13426,85152,5,179.2,0.21,719,12.0
12553,85099B,9,51.2,0.21,415,15.6
14895,22699,5,89.5,0.21,360,10.8
15547,79321,5,104.2,0.21,417,1.2
14911,21110,5,60.0,0.21,242,4.0
15708,22488,5,62.5,0.21,252,4.0
17841,21056,5,174.8,0.21,700,1.0
17428,22813,5,92.8,0.22,373,31.2
15241,20972,6,117.0,0.22,587,28.0
15547,85123A,10,54.4,0.22,493,5.3
13089,22667,6,64.0,0.22,321,7.0
14049,22024,5,149.8,0.22,600,12.0
13564,22413,5,59.2,0.22,238,10.6
14936,21080,5,88.8,0.22,356,19.2
12727,22090,5,116.5,0.22,467,16.8
12557,84997C,6,141.0,0.22,706,276.0
12557,84997D,6,141.0,0.22,706,288.0
17588,48187,5,133.8,0.22,537,9.2
13097,84692,5,122.8,0.22,492,25.0
13985,22629,5,61.5,0.22,247,12.0
12867,21976,6,47.0,0.22,237,3.7
17191,84406B,11,70.5,0.22,710,6.4
15854,85014B,5,130.8,0.22,525,6.0
13985,22630,5,61.5,0.22,247,12.0
14005,22423,5,51.2,0.22,206,5.6
12637,22383,5,81.0,0.22,325,5.2
15203,22983,5,98.5,0.22,396,12.0
18094,84029G,5,154.5,0.22,619,21.6
14258,85099B,6,138.2,0.22,693,100.0
13267,21669,5,86.5,0.22,346,12.0
16839,22384,5,99.0,0.22,397,30.0
12347,22375,6,65.0,0.22,327,5.3
14298,84660B,5,64.8,0.22,261,58.0
12480,21481,5,99.5,0.22,399,6.8
12748,21576,5,81.5,0.22,328,2.2
17416,22147,5,98.2,0.22,394,14.4
14646,22487,5,71.8,0.22,289,7.2
12583,21042,6,91.4,0.23,460,5.0
12594,22898,6,66.2,0.23,332,9.3
16409,85040A,10,76.1,0.23,690,6.1
17515,22679,5,57.0,0.23,229,4.6
12867,22411,9,79.0,0.23,637,3.4
17515,22678,5,57.0,0.23,229,4.6
15858,22023,5,151.0,0.23,605,16.8
17515,22677,5,57.0,0.23,229,5.4
13050,22585,5,72.5,0.23,291,14.4
14532,85123A,5,102.8,0.23,412,15.8
17515,22685,5,57.0,0.23,229,4.6
15382,22383,6,113.6,0.23,570,15.0
17515,22680,5,57.0,0.23,229,4.6
16409,21080,8,80.1,0.23,564,3.2
17515,22676,5,57.0,0.23,229,5.4
15858,22026,5,151.0,0.23,605,16.8
14796,23077,6,36.0,0.23,182,20.0
12826,20727,6,100.6,0.23,505,10.0
18069,21733,6,72.2,0.23,363,1.5
12490,21238,6,127.2,0.23,637,9.3
14092,21877,8,99.4,0.23,699,11.2
16705,20914,6,119.5,0.23,481,28.7
15563,46000S,5,145.2,0.23,582,25.0
15563,84077,5,145.2,0.23,582,48.0
13092,21054,7,50.7,0.23,308,2.3
14085,21034,6,91.4,0.23,459,1.7
15358,85176,5,160.8,0.23,644,12.0
12540,21080,5,151.0,0.23,605,12.0
16409,20766,8,80.1,0.23,564,1.1
14606,21211,5,137.5,0.23,551,1.2
13078,22024,5,82.0,0.23,329,12.0
17677,22727,6,87.0,0.23,436,4.0
16098,22381,5,56.8,0.23,230,26.2
13078,84596L,6,54.8,0.23,276,8.0
14606,20738,5,81.8,0.23,329,1.8
16791,22423,8,73.6,0.23,520,1.9
16013,21733,5,69.2,0.23,278,54.0
12867,21429,5,66.0,0.23,266,10.4
14056,22975,5,51.5,0.23,207,4.0
15382,84991,6,113.6,0.23,570,28.0
13081,21985,10,73.4,0.23,665,36.0
14161,22553,5,67.5,0.23,272,4.0
15356,21908,6,52.8,0.23,266,2.5
16511,22382,5,156.0,0.23,626,2.2
13089,21172,5,103.8,0.23,415,12.0
18260,21977,6,49.2,0.23,248,24.0
16746,22131,5,70.8,0.23,285,5.4
13869,22189,6,113.0,0.23,567,4.5
14466,84988,6,108.6,0.23,545,12.3
13802,20972,5,50.5,0.23,204,12.0
17735,84050,6,41.4,0.23,209,10.0
16335,84997D,5,45.8,0.23,184,2.8
18219,21519,6,86.8,0.23,436,12.0
15712,22469,5,108.2,0.23,434,12.0
17800,21380,5,73.8,0.23,296,8.4
17591,82600,5,73.0,0.23,293,11.0
12908,15036,5,113.0,0.23,453,600.0
18065,20679,5,109.8,0.23,441,3.0
15898,20960,6,42.2,0.23,212,7.2
17677,20914,6,55.2,0.23,279,11.0
14298,21908,5,65.8,0.23,264,12.0
17581,20711,5,152.5,0.23,611,12.0
12955,22621,6,53.0,0.23,266,12.0
16422,21989,6,73.4,0.23,369,112.0
13802,20971,5,50.5,0.23,204,38.4
15708,22626,6,76.4,0.24,384,1.2
15640,84879,5,149.8,0.24,600,160.0
14191,23202,9,23.4,0.24,189,10.0
15712,84970S,6,138.2,0.24,693,14.0
15716,22082,5,132.2,0.24,531,5.2
12437,20750,7,56.0,0.24,339,2.9
12867,21977,5,45.2,0.24,183,4.0
12583,20719,5,146.0,0.24,586,18.0
12437,20749,5,50.0,0.24,203,3.6
13381,21902,5,157.2,0.24,630,24.0
15856,79320,7,45.2,0.24,272,27.7
16525,21154,5,131.5,0.24,527,11.2
13798,47570B,7,64.5,0.24,389,50.0
12731,10125,5,56.8,0.24,230,90.0
15240,22083,6,129.6,0.24,649,10.0
12540,21914,6,73.6,0.24,370,20.0
12540,21670,5,148.2,0.24,595,16.8
16255,21531,6,68.4,0.24,344,1.7
14057,21731,5,110.2,0.24,443,12.4
14895,22625,5,143.8,0.24,576,2.4
12472,21673,5,122.2,0.24,490,12.0
15544,22029,6,96.8,0.24,486,14.0
13426,22028,6,109.0,0.24,547,12.0
12682,23199,5,44.5,0.24,181,10.0
14713,21495,5,146.2,0.24,587,25.0
13097,22423,12,47.5,0.24,527,3.1
17799,85099F,5,128.8,0.24,516,3.8
13089,85099F,5,64.0,0.24,257,12.8
13018,20724,6,128.5,0.24,516,10.0
16940,21156,5,169.2,0.24,679,3.8
17107,22692,5,60.5,0.24,244,14.0
12477,21563,5,95.8,0.24,383,20.4
12472,21670,5,122.2,0.24,490,12.0
14841,21929,7,98.3,0.24,591,15.7
14961,22197,9,90.0,0.24,724,82.2
12477,21216,5,95.8,0.24,383,25.6
14841,22386,7,98.3,0.24,591,17.1
13267,21707,5,152.8,0.24,613,6.4
13408,72008,6,48.6,0.24,246,32.0
16407,21733,5,104.5,0.24,419,2.0
17107,48187,5,160.2,0.24,643,10.0
14961,21213,5,90.2,0.24,363,24.0
16327,22792,5,88.2,0.24,355,36.4
15311,22444,6,47.0,0.24,236,24.0
13317,21217,5,79.5,0.24,319,1.4
17281,20914,5,59.0,0.24,238,53.0
16705,23052,5,50.0,0.24,202,2.8
14790,22383,6,117.2,0.24,588,10.0
16033,85152,7,72.7,0.24,438,2.1
12681,22716,5,123.5,0.24,496,12.0
13001,85099F,5,89.0,0.24,357,10.0
15719,20724,9,24.4,0.24,198,3.4
12867,22815,9,52.0,0.24,420,24.0
18065,22692,5,97.2,0.24,391,2.0
15998,22716,5,110.2,0.24,443,14.4
15719,20723,10,23.8,0.24,218,2.8
17191,47566,5,107.2,0.24,431,3.4
17107,22697,5,60.5,0.24,244,2.2
14415,23202,7,32.5,0.25,196,8.1
13081,62018,11,66.0,0.25,665,6.5
13097,21203,5,59.0,0.25,237,9.6
12477,84968A,6,104.2,0.25,522,9.7
16255,22151,6,76.6,0.25,385,68.0
13157,22383,7,83.0,0.25,500,14.3
17191,22771,6,76.6,0.25,385,20.0
16456,21931,8,86.0,0.25,521,28.8
12472,85049G,5,74.2,0.25,299,14.4
15867,21498,8,97.0,0.25,682,25.0
16904,21165,6,73.2,0.25,368,1.0
14646,22848,7,34.5,0.25,210,8.0
16456,85099C,8,86.0,0.25,521,23.8
13869,22147,6,113.2,0.25,567,3.5
17191,22773,5,96.0,0.25,385,21.6
14849,84849B,5,80.8,0.25,325,14.4
14092,16237,6,103.6,0.25,520,30.0
15078,22961,5,63.8,0.25,256,12.0
17511,20725,8,85.7,0.25,602,100.0
14606,84510C,6,89.2,0.25,448,1.2
14167,72802A,6,91.2,0.25,459,3.3
12935,20971,6,100.0,0.25,503,12.0
15356,21907,6,44.4,0.25,225,2.5
14527,22567,5,146.8,0.25,588,3.6
16713,21181,6,129.6,0.25,651,2.3
12583,21039,5,163.0,0.25,653,8.4
12867,22383,6,53.8,0.25,271,2.8
13081,21974,6,111.0,0.25,557,12.0
16143,21232,5,62.2,0.25,249,16.8
13510,21498,5,167.8,0.25,673,25.0
13451,22198,5,59.0,0.25,237,6.4
13004,22386,7,88.3,0.25,533,10.0
15023,22382,5,86.8,0.25,348,2.6
12867,22960,6,53.8,0.25,271,2.7
17381,22560,6,84.4,0.25,424,81.0
13408,22746,5,60.0,0.25,241,11.2
16743,22616,5,60.5,0.25,245,12.0
14530,22173,5,148.0,0.25,594,6.0
15861,20719,7,130.4,0.25,653,4.6
13982,20724,5,162.0,0.25,649,16.0
15856,23154,7,40.2,0.25,244,13.7
15640,21875,5,92.2,0.25,370,8.4
17068,23199,6,39.4,0.25,198,8.3
15241,22029,5,115.0,0.25,462,12.0
17673,40003,6,88.4,0.25,444,14.0
17673,82552,6,96.4,0.25,484,2.3
15502,22197,6,107.4,0.25,539,88.7
15513,21527,5,90.8,0.25,364,6.8
17059,22386,6,93.4,0.25,469,4.5
15547,21843,6,107.2,0.25,539,1.3
17560,84755,5,88.2,0.25,355,38.4
12872,21754,5,53.8,0.25,216,2.2
13975,20992,6,117.2,0.25,589,6.0
16115,22411,5,50.2,0.25,202,2.2
14546,48138,5,157.0,0.25,629,1.0
13004,85099B,6,117.4,0.25,588,10.0
16393,22902,6,66.8,0.25,336,5.0
14032,84006,5,64.5,0.26,259,14.4
15673,22195,5,109.8,0.26,440,9.0
16327,35653,7,57.2,0.26,346,5.1
14092,85123A,11,69.5,0.26,699,11.5
12872,84625A,5,87.5,0.26,352,2.2
15796,22627,5,128.2,0.26,515,6.0
17231,21908,6,138.6,0.26,695,1.5
16008,48138,5,61.5,0.26,248,3.2
18069,85123A,7,77.8,0.26,470,3.1
16746,22968,5,58.8,0.26,236,2.0
13313,22386,5,139.0,0.26,559,10.0
13206,84949,5,82.5,0.26,332,13.2
16327,21777,6,64.6,0.26,324,2.7
15939,22219,5,66.2,0.26,267,38.0
14062,79067,5,54.0,0.26,216,11.2
13975,22195,5,146.5,0.26,589,2.6
14769,22027,7,85.8,0.26,518,13.7
15296,22697,6,86.4,0.26,433,6.0
15296,22699,6,86.4,0.26,433,6.0
13183,21175,7,75.2,0.26,454,49.7
18260,22082,5,79.8,0.26,321,10.0
12437,21843,6,78.4,0.26,394,4.8
16409,82600,8,81.4,0.26,573,3.4
15819,21509,5,107.8,0.26,432,12.0
12474,22367,5,92.8,0.26,372,8.0
14056,23238,5,45.2,0.26,182,4.0
17323,85049F,5,143.0,0.26,574,2.4
15785,20725,7,107.3,0.26,646,11.4
12748,22776,5,101.5,0.26,408,1.4
12731,22134,6,100.0,0.26,503,22.0
13092,21056,8,62.3,0.26,440,2.5
17191,22212,5,107.5,0.26,431,4.0
18161,22423,5,78.0,0.26,314,2.8
17180,84992,5,97.8,0.26,393,4.2
13081,84559B,5,47.0,0.26,189,12.0
17323,85049D,5,143.0,0.26,574,2.2
12731,22699,5,104.2,0.26,418,19.2
13373,22147,5,143.2,0.26,574,12.0
15058,20972,7,100.2,0.26,603,18.9
14572,37450,5,144.5,0.26,581,1.8
18220,21232,5,124.0,0.26,497,100.8
14399,85123A,5,69.8,0.26,280,32.0
16710,35160,5,74.0,0.26,298,8.0
15708,22456,6,69.4,0.26,349,3.0
15058,20971,7,100.2,0.26,603,18.9
14936,84991,5,137.0,0.26,549,24.0
17929,21755,5,105.2,0.26,422,28.0
14210,22073,6,72.2,0.26,363,4.0
15785,84692,7,107.3,0.26,646,28.6
12758,20725,5,154.8,0.26,621,46.0
14936,21212,5,137.0,0.26,549,24.0
16409,84997D,9,85.8,0.26,690,2.4
14936,21210,5,137.0,0.26,549,12.0
17191,82552,7,87.5,0.26,528,2.0
17730,16161P,5,110.5,0.26,443,25.0
16241,22412,5,87.5,0.26,351,1.0
12731,20685,9,77.5,0.26,624,12.2
18172,22557,5,77.5,0.26,310,12.0
12731,20682,10,68.8,0.26,624,19.2
18172,84879,10,69.1,0.26,626,28.8
12613,22139,5,102.5,0.26,411,3.0
17673,21164,5,147.2,0.27,591,2.0
18230,85152,6,103.0,0.27,516,14.0
16684,22970,5,72.5,0.27,292,129.6
15640,20724,5,74.8,0.27,300,18.0
14049,22037,5,127.5,0.27,511,12.0
16125,84879,5,60.5,0.27,244,19.6
16670,22698,6,86.2,0.27,435,8.0
16670,22697,6,86.2,0.27,435,8.0
14546,22151,5,163.5,0.27,656,11.6
14239,84970L,5,112.8,0.27,452,12.0
17372,21121,6,103.0,0.27,518,3.2
14367,20728,5,63.0,0.27,254,8.6
15382,21212,6,109.6,0.27,550,28.0
12598,22661,5,63.5,0.27,256,12.0
14367,22720,5,66.2,0.27,267,3.0
12598,20724,5,63.5,0.27,256,22.0
12682,22435,5,83.2,0.27,335,12.0
12937,85123A,5,162.5,0.27,650,32.0
15358,22026,5,134.0,0.27,537,12.0
15358,21918,6,114.6,0.27,575,24.0
12678,21977,5,155.0,0.27,622,40.8
16931,22175,6,42.0,0.27,211,2.2
15712,22178,7,109.8,0.27,661,25.7
17213,82482,6,170.8,0.27,684,7.0
14713,22518,10,44.0,0.27,398,2.9
17769,22623,6,106.0,0.27,531,3.5
14258,20685,6,128.8,0.27,646,10.0
13953,62018,12,65.1,0.27,721,425.0
17596,21830,8,81.0,0.27,569,72.0
16686,84828,6,116.8,0.27,587,2.5
13104,22041,5,151.0,0.27,606,25.2
16938,84997D,5,162.2,0.27,651,4.6
17677,21977,7,112.5,0.27,677,37.7
15159,22661,7,60.3,0.27,364,15.7
13330,20728,5,140.2,0.27,562,20.0
12935,22470,5,64.2,0.27,258,7.2
13330,22383,5,140.2,0.27,562,18.0
13448,82600,5,149.8,0.27,600,6.2
14194,21212,8,80.9,0.27,569,24.0
14649,21519,5,170.5,0.27,683,12.0
13815,21122,5,160.5,0.27,643,24.0
13593,21733,5,89.0,0.27,357,4.8
17769,20685,5,102.5,0.27,411,2.8
16409,72351B,9,79.2,0.27,638,7.0
17191,79067,5,91.8,0.27,369,4.6
16607,23233,6,56.4,0.27,285,25.0
12402,85099F,5,86.5,0.27,347,10.0
14135,21495,5,160.2,0.27,643,25.0
17107,21385,5,116.8,0.27,468,24.0
14395,21907,5,102.8,0.27,412,6.4
17644,23298,5,50.0,0.27,202,5.4
17511,84997D,5,136.5,0.27,547,72.0
17139,23209,6,38.6,0.27,194,21.7
13593,85123A,8,71.6,0.27,502,5.5
12766,22139,5,71.5,0.27,287,7.8
13615,22139,6,71.6,0.27,361,3.0
12647,20685,5,61.8,0.27,248,12.0
17231,90081A,5,179.2,0.27,719,1.8
15159,82486,7,43.7,0.27,265,10.9
12782,22355,5,104.2,0.27,419,12.0
12481,22077,5,135.0,0.27,541,19.2
14961,22198,5,93.2,0.27,375,68.8
13451,21212,8,71.3,0.27,502,7.4
13313,22303,6,105.0,0.27,528,7.0
16186,22411,6,38.2,0.28,193,13.3
15547,21908,7,99.5,0.28,598,2.1
17581,22355,6,124.6,0.28,626,11.7
14341,85099B,9,84.5,0.28,679,11.1
17739,21363,6,56.4,0.28,284,8.0
16686,21357,5,69.2,0.28,279,2.0
17364,22169,6,78.0,0.28,392,1.7
12633,22139,5,98.5,0.28,395,3.6
15358,21508,6,133.4,0.28,669,12.0
17863,22139,5,94.2,0.28,378,12.0
14755,22467,5,67.2,0.28,271,7.2
15874,85123A,5,97.8,0.28,391,15.0
15005,47559B,5,50.2,0.28,203,3.2
18219,22423,5,144.8,0.28,581,1.6
13784,84970L,5,97.8,0.28,392,48.0
13815,20724,5,160.2,0.28,642,16.0
15719,22993,7,30.2,0.28,183,2.4
15898,82483,7,30.5,0.28,185,1.3
16186,16012,5,55.8,0.28,224,24.0
13211,21121,5,83.5,0.28,335,6.0
13211,22090,5,83.5,0.28,335,5.4
12921,21218,5,114.0,0.28,457,7.2
17049,85099B,6,44.2,0.28,222,11.7
13050,22666,7,77.0,0.28,464,6.0
16719,16161P,5,144.0,0.28,577,20.2
