order_id,date,weekday,customer,item,category,quantity,unit,unit_price,total_amount,_pattern
ORD-1076,2025-06-04,수,명성산업,PIPE_SCH40,배관,13,m,18186,236418,regular
ORD-1165,2025-06-06,금,우진소재,CARBON_STEEL,탄소강,16,kg,2724,43584,noise
ORD-1003,2025-06-09,월,한진산업,STS304,스테인리스,111,kg,4527,502497,P1+P5
ORD-1004,2025-06-09,월,한진산업,CU_PIPE,동,22,m,11655,256410,P7
ORD-1117,2025-06-09,월,삼호금속,PIPE_SCH40,배관,33,m,18157,599181,noise
ORD-1155,2025-06-09,월,삼호금속,CU_PLATE,동,11,kg,15302,168322,noise
ORD-1159,2025-06-09,월,대성기업,CU_PIPE,동,14,m,12115,169610,noise
ORD-1041,2025-06-12,목,대성기업,AL6061,알루미늄,27,kg,3852,104004,P4
ORD-1023,2025-06-13,금,대성기업,AL6061,알루미늄,44,kg,3907,171908,P3
ORD-1064,2025-06-18,수,동아전자,GASKET_A,실링,178,ea,8306,1478468,P8
ORD-1077,2025-06-20,금,명성산업,CARBON_STEEL,탄소강,88,kg,2756,242528,regular
ORD-1173,2025-06-23,월,동아전자,AL6061,알루미늄,33,kg,3801,125433,noise
ORD-1024,2025-06-27,금,대성기업,AL6061,알루미늄,56,kg,3900,218400,P3
ORD-1174,2025-07-01,화,한진산업,PIPE_SCH40,배관,32,m,18171,581472,noise
ORD-1078,2025-07-07,월,명성산업,PIPE_SCH40,배관,16,m,17857,285712,regular
ORD-1127,2025-07-07,월,삼호금속,GASKET_A,실링,42,ea,8536,358512,noise
ORD-1005,2025-07-07,월,한진산업,STS304,스테인리스,114,kg,4590,523260,P1
ORD-1042,2025-07-10,목,대성기업,AL6061,알루미늄,32,kg,3888,124416,P4
ORD-1025,2025-07-10,목,대성기업,AL6061,알루미늄,58,kg,3822,221676,P3
ORD-1050,2025-07-14,월,세진테크,STS304,스테인리스,201,kg,4610,926610,P6
ORD-1051,2025-07-15,화,세진테크,AL5052,알루미늄,139,kg,3481,483859,P6
ORD-1052,2025-07-15,화,세진테크,CARBON_STEEL,탄소강,323,kg,2754,889542,P6
ORD-1079,2025-07-21,월,명성산업,CARBON_STEEL,탄소강,84,kg,2822,237048,regular
ORD-1026,2025-07-23,수,대성기업,AL6061,알루미늄,58,kg,3706,214948,P3
ORD-1113,2025-07-28,월,삼호금속,STS316,스테인리스,13,kg,6310,82030,noise
ORD-1115,2025-07-31,목,삼호금속,CU_PIPE,동,52,m,11781,612612,noise
ORD-1133,2025-07-31,목,태광스틸,AL6061,알루미늄,32,kg,3871,123872,noise
ORD-1065,2025-08-04,월,동아전자,SS_NUT_M10,체결부품,94,ea,123,11562,P8
ORD-1006,2025-08-04,월,한진산업,STS304,스테인리스,91,kg,4414,401674,P1
ORD-1080,2025-08-06,수,명성산업,CARBON_STEEL,탄소강,81,kg,2731,221211,regular
ORD-1163,2025-08-07,목,명성산업,STS304,스테인리스,8,kg,4461,35688,noise
ORD-1027,2025-08-07,목,대성기업,AL6061,알루미늄,44,kg,3696,162624,P3+P10
ORD-1150,2025-08-12,화,우진소재,AL5052,알루미늄,27,kg,3547,95769,noise
ORD-1151,2025-08-14,목,동아전자,SS_BOLT_M10,체결부품,17,ea,250,4250,noise
ORD-1137,2025-08-14,목,태광스틸,SS_NUT_M10,체결부품,31,ea,121,3751,noise
ORD-1164,2025-08-20,수,태광스틸,STS304,스테인리스,6,kg,4369,26214,noise
ORD-1028,2025-08-22,금,대성기업,AL6061,알루미늄,47,kg,3775,177425,P3+P10
ORD-1081,2025-08-22,금,명성산업,CARBON_STEEL,탄소강,91,kg,2770,252070,regular
ORD-1141,2025-09-01,월,태광스틸,AL5052,알루미늄,9,kg,3493,31437,noise
ORD-1101,2025-09-05,금,우진소재,CU_PLATE,동,38,kg,14641,556358,seasonal
ORD-1029,2025-09-08,월,대성기업,AL6061,알루미늄,45,kg,3875,174375,P3+P10
ORD-1082,2025-09-08,월,명성산업,PIPE_SCH40,배관,13,m,17504,227552,regular
ORD-1007,2025-09-09,화,한진산업,STS304,스테인리스,91,kg,4447,404677,P1+P5
ORD-1043,2025-09-12,금,대성기업,AL6061,알루미늄,30,kg,3713,111390,P4
ORD-1066,2025-09-12,금,동아전자,SS_NUT_M10,체결부품,46,ea,120,5520,P8
ORD-1114,2025-09-17,수,삼호금속,STS316,스테인리스,42,kg,6229,261618,noise
ORD-1102,2025-09-18,목,우진소재,STS316,스테인리스,54,kg,6016,324864,seasonal
ORD-1030,2025-09-22,월,대성기업,AL6061,알루미늄,47,kg,3750,176250,P3+P10
ORD-1083,2025-09-23,화,명성산업,PIPE_SCH40,배관,16,m,18192,291072,regular
ORD-1170,2025-10-06,월,삼호금속,STS304,스테인리스,26,kg,4473,116298,noise
ORD-1104,2025-10-07,화,우진소재,CU_PLATE,동,77,kg,15137,1165549,seasonal
ORD-1156,2025-10-07,화,동아전자,CU_PIPE,동,17,m,11934,202878,noise
ORD-1031,2025-10-07,화,대성기업,AL6061,알루미늄,51,kg,3718,189618,P3+P10
ORD-1168,2025-10-07,화,한진산업,PTFE_SHEET,실링,30,장,31984,959520,noise
ORD-1084,2025-10-09,목,명성산업,CARBON_STEEL,탄소강,65,kg,2802,182130,regular
ORD-1106,2025-10-10,금,우진소재,AL6061,알루미늄,61,kg,3760,229360,seasonal
ORD-1008,2025-10-13,월,한진산업,STS304,스테인리스,158,kg,4444,702152,P1+P5
ORD-1053,2025-10-13,월,세진테크,STS304,스테인리스,175,kg,4443,777525,P6
ORD-1136,2025-10-13,월,태광스틸,STS304,스테인리스,34,kg,4581,155754,noise
ORD-1054,2025-10-14,화,세진테크,AL5052,알루미늄,135,kg,3590,484650,P6
ORD-1009,2025-10-14,화,한진산업,CU_PIPE,동,21,m,11740,246540,P7
ORD-1055,2025-10-14,화,세진테크,CARBON_STEEL,탄소강,328,kg,2822,925616,P6
ORD-1044,2025-10-17,금,대성기업,AL6061,알루미늄,33,kg,3859,127347,P4
ORD-1032,2025-10-23,목,대성기업,AL6061,알루미늄,56,kg,3703,207368,P3+P10
ORD-1105,2025-10-23,목,우진소재,STS316,스테인리스,60,kg,6279,376740,seasonal
ORD-1135,2025-10-23,목,태광스틸,STS304,스테인리스,25,kg,4503,112575,noise
ORD-1125,2025-10-24,금,삼호금속,PIPE_SCH40,배관,28,m,17643,494004,noise
ORD-1085,2025-10-27,월,명성산업,CARBON_STEEL,탄소강,71,kg,2824,200504,regular
ORD-1067,2025-10-28,화,동아전자,GASKET_A,실링,54,ea,8430,455220,P8
ORD-1122,2025-10-28,화,삼호금속,SS_NUT_M10,체결부품,72,ea,123,8856,noise
ORD-1103,2025-10-28,화,우진소재,CU_PLATE,동,42,kg,15044,631848,seasonal
ORD-1128,2025-11-03,월,태광스틸,AL6061,알루미늄,20,kg,3826,76520,noise
ORD-1110,2025-11-03,월,우진소재,CU_PLATE,동,65,kg,14789,961285,seasonal
ORD-1011,2025-11-03,월,한진산업,CU_PIPE,동,20,m,12205,244100,P7
ORD-1010,2025-11-03,월,한진산업,STS304,스테인리스,80,kg,4464,357120,P1
ORD-1138,2025-11-03,월,태광스틸,PIPE_SCH40,배관,66,m,18421,1215786,noise
ORD-1169,2025-11-07,금,세진테크,AL6061,알루미늄,7,kg,3725,26075,noise
ORD-1045,2025-11-07,금,대성기업,AL6061,알루미늄,31,kg,3862,119722,P4
ORD-1121,2025-11-07,금,삼호금속,CU_PLATE,동,47,kg,14935,701945,noise
ORD-1086,2025-11-10,월,명성산업,CARBON_STEEL,탄소강,70,kg,2832,198240,regular
ORD-1109,2025-11-10,월,우진소재,STS316,스테인리스,52,kg,6049,314548,seasonal
ORD-1033,2025-11-10,월,대성기업,AL6061,알루미늄,51,kg,3862,196962,P3+P10
ORD-1107,2025-11-12,수,우진소재,AL6061,알루미늄,79,kg,3834,302886,seasonal
ORD-1130,2025-11-13,목,태광스틸,GASKET_A,실링,16,ea,8692,139072,noise
ORD-1166,2025-11-13,목,세진테크,GASKET_A,실링,23,ea,8681,199663,noise
ORD-1108,2025-11-17,월,우진소재,STS316,스테인리스,35,kg,6259,219065,seasonal
ORD-1060,2025-11-17,월,세진테크,STS316,스테인리스,84,kg,6099,512316,P9
ORD-1152,2025-11-21,금,삼호금속,CU_PLATE,동,8,kg,15266,122128,noise
ORD-1153,2025-11-21,금,한진산업,PTFE_SHEET,실링,9,장,31883,286947,noise
ORD-1129,2025-11-24,월,태광스틸,AL5052,알루미늄,18,kg,3424,61632,noise
ORD-1087,2025-11-24,월,명성산업,PIPE_SCH40,배관,14,m,18472,258608,regular
ORD-1034,2025-11-26,수,대성기업,AL6061,알루미늄,37,kg,3687,136419,P3+P10
ORD-1119,2025-12-01,월,삼호금속,SS_BOLT_M10,체결부품,28,ea,256,7168,noise
ORD-1012,2025-12-01,월,한진산업,STS304,스테인리스,77,kg,4504,346808,P1
ORD-1013,2025-12-03,수,한진산업,CU_PIPE,동,21,m,11673,245133,P7
ORD-1046,2025-12-04,목,대성기업,AL6061,알루미늄,30,kg,3805,114150,P4
ORD-1134,2025-12-05,금,태광스틸,SS_NUT_M10,체결부품,27,ea,123,3321,noise
ORD-1116,2025-12-05,금,삼호금속,AL5052,알루미늄,50,kg,3454,172700,noise
ORD-1140,2025-12-08,월,태광스틸,AL6061,알루미늄,17,kg,3818,64906,noise
ORD-1088,2025-12-08,월,명성산업,PIPE_SCH40,배관,13,m,17828,231764,regular
ORD-1035,2025-12-15,월,대성기업,AL6061,알루미늄,48,kg,3847,184656,P3+P10
ORD-1145,2025-12-15,월,명성산업,GASKET_A,실링,14,ea,8310,116340,noise
ORD-1146,2025-12-17,수,한진산업,STS316,스테인리스,16,kg,6300,100800,noise
ORD-1068,2025-12-22,월,동아전자,GASKET_A,실링,119,ea,8736,1039584,P8
ORD-1089,2025-12-24,수,명성산업,CARBON_STEEL,탄소강,68,kg,2871,195228,regular
ORD-1154,2026-01-01,목,대성기업,AL5052,알루미늄,28,kg,3400,95200,noise
ORD-1036,2026-01-01,목,대성기업,AL6061,알루미늄,46,kg,3862,177652,P3+P10
ORD-1157,2026-01-05,월,명성산업,PIPE_SCH40,배관,19,m,17629,334951,noise
ORD-1090,2026-01-09,금,명성산업,PIPE_SCH40,배관,17,m,17739,301563,regular
ORD-1160,2026-01-09,금,대성기업,AL6061,알루미늄,19,kg,3904,74176,noise
ORD-1139,2026-01-12,월,태광스틸,CARBON_STEEL,탄소강,50,kg,2779,138950,noise
ORD-1056,2026-01-12,월,세진테크,STS304,스테인리스,222,kg,4582,1017204,P6
ORD-1172,2026-01-12,월,우진소재,SS_BOLT_M10,체결부품,10,ea,248,2480,noise
ORD-1014,2026-01-12,월,한진산업,STS304,스테인리스,149,kg,4383,653067,P1+P5
ORD-1058,2026-01-13,화,세진테크,CARBON_STEEL,탄소강,304,kg,2852,867008,P6
ORD-1057,2026-01-13,화,세진테크,AL5052,알루미늄,136,kg,3582,487152,P6
ORD-1037,2026-01-20,화,대성기업,AL6061,알루미늄,35,kg,3768,131880,P3+P10
ORD-1118,2026-01-21,수,삼호금속,SS_NUT_M10,체결부품,20,ea,123,2460,noise
ORD-1142,2026-01-22,목,태광스틸,PIPE_SCH40,배관,45,m,17769,799605,noise
ORD-1091,2026-01-26,월,명성산업,PIPE_SCH40,배관,16,m,18343,293488,regular
ORD-1147,2026-01-30,금,대성기업,STS316,스테인리스,17,kg,6246,106182,noise
ORD-1015,2026-02-02,월,한진산업,STS304,스테인리스,113,kg,4626,522738,P1
ORD-1161,2026-02-04,수,삼호금속,AL5052,알루미늄,30,kg,3511,105330,noise
ORD-1016,2026-02-04,수,한진산업,CU_PIPE,동,22,m,11859,260898,P7
ORD-1038,2026-02-09,월,대성기업,AL6061,알루미늄,42,kg,3883,163086,P3+P10
ORD-1092,2026-02-10,화,명성산업,CARBON_STEEL,탄소강,82,kg,2805,230010,regular
ORD-1069,2026-02-12,목,동아전자,PTFE_SHEET,실링,45,장,31995,1439775,P8
ORD-1149,2026-02-12,목,한진산업,STS316,스테인리스,32,kg,6215,198880,noise
ORD-1061,2026-02-16,월,세진테크,STS316,스테인리스,97,kg,6318,612846,P9
ORD-1124,2026-02-25,수,삼호금속,STS316,스테인리스,12,kg,6331,75972,noise
ORD-1093,2026-02-26,목,명성산업,PIPE_SCH40,배관,13,m,17561,228293,regular
ORD-1039,2026-03-02,월,대성기업,AL6061,알루미늄,68,kg,3761,255748,P3+P10
ORD-1112,2026-03-03,화,우진소재,CU_PLATE,동,66,kg,15353,1013298,seasonal
ORD-1017,2026-03-09,월,한진산업,STS304,스테인리스,114,kg,4550,518700,P1+P5
ORD-1158,2026-03-09,월,한진산업,GASKET_A,실링,20,ea,8525,170500,noise
ORD-1094,2026-03-12,목,명성산업,CARBON_STEEL,탄소강,93,kg,2867,266631,regular
ORD-1171,2026-03-16,월,동아전자,AL5052,알루미늄,12,kg,3528,42336,noise
ORD-1162,2026-03-18,수,동아전자,CARBON_STEEL,탄소강,22,kg,2786,61292,noise
ORD-1111,2026-03-19,목,우진소재,STS316,스테인리스,26,kg,7332,190632,seasonal
ORD-1070,2026-03-23,월,동아전자,GASKET_A,실링,184,ea,8390,1543760,P8
ORD-1071,2026-03-23,월,동아전자,SS_BOLT_M10,체결부품,72,ea,252,18144,P8_extra
ORD-1040,2026-03-24,화,대성기업,AL6061,알루미늄,54,kg,3757,202878,P3+P10
ORD-1095,2026-03-26,목,명성산업,PIPE_SCH40,배관,16,m,17826,285216,regular
